Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Japan,82000,356.44718899887056,43415493.2566417,3399.624,8.233817339000002,47861029.229735926,-804329.3683299928,1602001.3008115801,102.66888515724966,147784.48746065714
Jordan,82000,123.4947406239237,663008.039969363,3219.7019999999998,148.84325274100004,997026.4245752115,63651.74802983945,224439.448352801,121.89309536289407,45870.235389661364
Kazakhstan,82000,385.78485034069666,7332763.391678401,2309.9809999999998,24.74590359899999,9298169.370308839,-1387833.5683607636,1792267.3241095268,116.99422799735322,131932.28231815735
Kenya,82000,11.80482579574267,383550.2329276755,839.443,122.48710134800002,2003666.5859541474,89135.44020763497,1036414.5976522091,29.18657555888064,18750.739396366338
Kiribati,82000,23.50772989858833,49746.44745481372,1715.3909999999996,71.43676871600002,163593.0189761064,37541.73219242976,49688.849049783305,98.26132833886003,14754.510496603853
"Korea, Dem. People's Rep.",82000,168.51997224701495,3432436.2120489837,2437.189,40.25720730399999,4351847.110352093,-159254.84653893317,832900.7130743092,143.25373560231915,47553.909813755374
"Korea, Rep.",82000,337.050478928771,15560810.345068319,3123.6890000000003,32.176167967,17851839.351539865,93492.29520197173,1143691.5493104344,107.48600424947414,139617.7805291965
Kuwait,82000,813.3635309422862,2065634.5013223581,4052.5400000000004,147.90706466648152,2653849.3201072435,-32170.967573084097,239712.54747661375,110.16861721026088,342965.3635639458
Kyrgyz Republic,82000,79.46938292198082,293302.3146405912,1496.729,61.82852860000001,741955.1843227422,-69114.90902208803,235871.79337773783,88.19232075298501,33552.74834300981
Lao PDR,82000,18.610645002500654,147148.97746729478,939.8559999999999,81.90811091500001,778002.4079525792,191923.97033855953,308405.8122847254,70.00012857005281,11542.94712420688
Latvia,82000,169.707191719495,542840.2265649176,2798.139,-27.600081002000007,1207669.8504688905,413413.27722158504,161681.1036045193,87.69303988686536,83673.430634781
Least developed countries: UN classification,82000,10.035929791997267,5469942.428432929,1044.2542145999996,103.37554808100002,64264214.42962418,19784888.840500098,25917099.204634547,30.96994056553998,15190.762075343218
Lebanon,82000,147.49266525673062,643325.3852258561,3467.8769999999995,96.864754954,909943.1150375329,116394.44080317357,118740.91610461714,127.24822093623685,52329.68225080157
Lesotho,82000,40.39094142413531,99235.16969075619,801.637,49.744160779999994,314460.9615144703,89015.4535030151,112328.04155328608,394.77194993264163,14412.198927253046
Liberia,82000,15.717642263438822,77024.86381561763,1921.1359999999995,103.63196223,326118.27899041254,48313.48187723766,153479.31835352923,73.45257121548983,15515.04534943531
Libya,82000,322.487091517831,1677516.994414216,3144.125,79.70066463900002,3965753.2931406815,278.99287069163984,2091076.2819897416,117.32706902053077,116756.50065824483
Liechtenstein,82000,187.6807059091732,257928.72855354013,646.173,40.39585214099999,1039056.4344338841,282754.00556474325,317299.0698934265,81.04067622070625,71374.43587061425
Lithuania,82000,176.7289091025096,1032283.1394645208,2727.1290000000004,-19.541575792,2235220.981677725,936909.0142686128,241971.9416628551,78.56575507864193,99062.70084843668
Luxembourg,82000,893.0468827930822,438921.16159125394,3483.2949999999996,55.53183647500001,592557.9458009894,32917.707357009036,71245.87121297937,113.84432215491928,322290.80237130326
"Macao SAR, China",82000,227.5225635177007,867617.8647217123,4091.248,101.45034385499997,2437806.5424991795,567089.3726320211,691737.2244761167,100.67189556239667,112565.04509276047
